ts,occ,bid,ask
1787234425.027,NBIS260821P00205000,1.7400,1.9000
1787234426.614,NBIS260821P00205000,1.7400,1.8900
1787234427.060,NBIS260821P00205000,1.7400,1.8900
1787234428.035,NBIS260821P00205000,1.7500,1.9100
1787234429.374,NBIS260821P00205000,1.7600,1.9900
1787234430.176,NBIS260821P00205000,1.8300,1.9900
1787234431.047,NBIS260821P00205000,1.8500,2.0400
1787234432.055,NBIS260821P00205000,1.8500,2.0400
1787234433.024,NBIS260821P00205000,1.8200,1.9900
1787234434.026,NBIS260821P00205000,1.8200,1.9800
1787234435.024,NBIS260821P00205000,1.7800,1.9500
1787234436.030,NBIS260821P00205000,1.7800,1.9500
1787234437.051,NBIS260821P00205000,1.7900,1.9500
1787234438.029,NBIS260821P00205000,1.8200,1.9700
1787234439.006,NBIS260821P00205000,1.8700,2.0800
1787234440.280,NBIS260821P00205000,1.8700,2.0700
1787234442.871,NBIS260821P00205000,1.8800,2.0700
1787234443.137,NBIS260821P00205000,1.8700,2.0700
1787234444.094,NBIS260821P00205000,1.8700,2.0700
1787234445.538,NBIS260821P00205000,1.8700,2.0700
1787234446.004,NBIS260821P00205000,1.8700,2.0700
1787234447.039,NBIS260821P00205000,1.9000,2.0700
1787234448.068,NBIS260821P00205000,1.9000,2.0900
1787234449.369,NBIS260821P00205000,1.9200,2.0900
1787234450.133,NBIS260821P00205000,1.9200,2.0900
1787234451.036,NBIS260821P00205000,1.9200,2.0900
1787234452.034,NBIS260821P00205000,1.9300,2.1500
1787234453.040,NBIS260821P00205000,1.9400,2.1500
1787234454.039,NBIS260821P00205000,1.9400,2.1500
1787234455.023,NBIS260821P00205000,1.9400,2.1500
1787234456.649,NBIS260821P00205000,1.9500,2.1500
1787234457.741,NBIS260821P00205000,1.9500,2.1500
1787234458.067,NBIS260821P00205000,1.9500,2.1500
1787234459.322,NBIS260821P00205000,1.9600,2.1400
1787234460.057,NBIS260821P00205000,1.9600,2.1400
1787234461.103,NBIS260821P00205000,1.9900,2.1400
1787234462.240,NBIS260821P00205000,1.9400,2.1400
1787234463.035,NBIS260821P00205000,1.9400,2.1300
1787234464.035,NBIS260821P00205000,1.9700,2.1200
1787234465.506,NBIS260821P00205000,1.9700,2.1200
1787234466.060,NBIS260821P00205000,1.9700,2.1200
1787234467.043,NBIS260821P00205000,1.8700,2.0500
1787234468.060,NBIS260821P00205000,1.8700,2.0500
1787234469.472,NBIS260821P00205000,1.8900,2.0500
1787234470.357,NBIS260821P00205000,1.8900,2.0100
1787234471.213,NBIS260821P00205000,1.8900,2.0200
1787234472.033,NBIS260821P00205000,1.8900,2.0400
1787234473.133,NBIS260821P00205000,1.9000,2.0800
1787234474.046,NBIS260821P00205000,1.9200,2.1200
1787234475.296,NBIS260821P00205000,1.9200,2.1200
1787234476.695,NBIS260821P00205000,1.9200,2.1200
1787234477.003,NBIS260821P00205000,1.9200,2.1200
1787234478.679,NBIS260821P00205000,1.9200,2.1200
1787234479.155,NBIS260821P00205000,1.8500,2.0000
1787234480.032,NBIS260821P00205000,1.8800,2.0800
1787234481.118,NBIS260821P00205000,1.8800,2.0800
1787234482.041,NBIS260821P00205000,1.8300,2.0000
1787234483.007,NBIS260821P00205000,1.7700,1.9700
1787234485.211,NBIS260821P00205000,1.7800,2.0200
1787234486.012,NBIS260821P00205000,1.8500,2.0200
1787234487.033,NBIS260821P00205000,1.8800,2.0200
1787234488.565,NBIS260821P00205000,1.8800,2.0200
1787234489.046,NBIS260821P00205000,1.8800,2.0200
1787234490.432,NBIS260821P00205000,1.8700,2.0200
1787234491.291,NBIS260821P00205000,1.8700,2.0200
1787234492.049,NBIS260821P00205000,1.9300,2.0200
1787234493.301,NBIS260821P00205000,1.9300,2.0200
1787234494.208,NBIS260821P00205000,1.9300,2.0200
1787234495.268,NBIS260821P00205000,1.9300,2.0200
1787234497.346,NBIS260821P00205000,1.8300,2.0200
1787234498.162,NBIS260821P00205000,1.8300,2.0200
1787234499.063,NBIS260821P00205000,1.9300,2.0200
1787234500.215,NBIS260821P00205000,1.8800,2.0100
1787234502.639,NBIS260821P00205000,1.8800,2.0100
1787234503.198,NBIS260821P00205000,1.8400,2.0100
1787234504.392,NBIS260821P00205000,1.8400,2.0100
1787234505.015,NBIS260821P00205000,1.8500,2.0200
1787234506.315,NBIS260821P00205000,1.9000,2.0200
1787234508.775,NBIS260821P00205000,1.9400,2.1100
1787234509.337,NBIS260821P00205000,1.9600,2.1100
1787234510.109,NBIS260821P00205000,1.9500,2.1100
1787234511.281,NBIS260821P00205000,1.9400,2.0800
1787234512.040,NBIS260821P00205000,1.9200,2.0800
1787234513.339,NBIS260821P00205000,1.9600,2.1200
1787234514.008,NBIS260821P00205000,1.9600,2.1200
1787234517.067,NBIS260821P00205000,1.9600,2.1200
1787234518.031,NBIS260821P00205000,1.9600,2.1200
1787234519.002,NBIS260821P00205000,1.9600,2.1200
1787234520.015,NBIS260821P00205000,1.9600,2.1200
1787234521.029,NBIS260821P00205000,1.9300,2.0700
1787234522.106,NBIS260821P00205000,1.9300,2.0700
1787234523.047,NBIS260821P00205000,1.9300,2.0800
1787234525.086,NBIS260821P00205000,2.0200,2.1200
1787234526.027,NBIS260821P00205000,1.9700,2.1200
1787234527.015,NBIS260821P00205000,1.8900,2.0500
1787234528.017,NBIS260821P00205000,1.8700,2.0500
1787234529.006,NBIS260821P00205000,1.8700,2.0600
1787234530.152,NBIS260821P00205000,1.8900,2.0600
1787234531.652,NBIS260821P00205000,1.9100,2.1200
1787234532.078,NBIS260821P00205000,1.9200,2.1200
1787234533.189,NBIS260821P00205000,2.0000,2.1200
1787234534.046,NBIS260821P00205000,2.0200,2.1200
1787234535.023,NBIS260821P00205000,2.0200,2.1200
1787234536.182,NBIS260821P00205000,1.9500,2.1200
1787234537.230,NBIS260821P00205000,1.9100,2.0900
1787234538.028,NBIS260821P00205000,1.9100,2.0900
1787234539.024,NBIS260821P00205000,1.9500,2.1200
1787234540.167,NBIS260821P00205000,1.9400,2.1200
1787234541.285,NBIS260821P00205000,1.9300,2.1200
1787234542.031,NBIS260821P00205000,1.9300,2.1200
1787234543.283,NBIS260821P00205000,1.9500,2.1200
1787234544.296,NBIS260821P00205000,1.9500,2.1200
1787234545.025,NBIS260821P00205000,1.9500,2.1200
